No.,Ticker,Perf Week,Perf Month,Perf Quart,Perf Half,Perf Year,Perf YTD,Volatility W,Volatility M,Recom,Avg Volume,Rel Volume,Price,Change,Volume
1,HBAN,-1.15%,-5.01%,8.60%,28.11%,110.28%,23.04%,3.31%,3.02%,2.30,12.26M,1.05,15.73,1.19%,"4,088,011"
2,VTRS,14.36%,20.59%,-12.66%,1.85%,2.51%,-14.99%,3.80%,2.81%,2.40,11.43M,0.71,15.85,-0.47%,"2,582,935"
3,HST,-2.45%,-4.22%,14.38%,24.81%,76.72%,14.15%,3.59%,3.20%,2.80,8.01M,0.38,17.25,3.32%,"973,885"
4,PBCT,1.06%,5.43%,26.45%,46.84%,81.24%,47.18%,3.77%,2.79%,3.00,5.60M,0.48,19.17,0.71%,"859,181"
5,APA,-4.81%,12.46%,20.14%,104.20%,90.12%,43.76%,4.93%,4.82%,2.30,8.13M,0.87,21.36,4.73%,"2,243,912"
6,AAL,-1.30%,-5.19%,24.84%,71.32%,132.82%,34.50%,3.89%,3.96%,3.40,42.15M,1.08,22.17,4.55%,"14,497,719"
7,NWS,1.73%,-0.92%,6.03%,47.79%,122.83%,37.06%,3.97%,2.62%,-,607.84K,0.50,24.84,1.99%,"96,865"
8,NLOK,21.85%,20.07%,19.19%,31.11%,24.18%,22.09%,3.96%,2.54%,2.20,5.32M,1.83,25.41,0.14%,"3,098,367"
9,NWSA,0.96%,-0.61%,13.93%,61.34%,147.41%,46.08%,4.10%,2.79%,1.90,3.95M,0.38,26.69,1.68%,"472,771"
10,NWL,-1.79%,8.09%,9.71%,48.39%,143.86%,34.62%,2.98%,2.40%,2.70,2.56M,0.53,28.84,0.93%,"433,365"
11,DISCK,-4.02%,-7.62%,-21.64%,47.45%,76.24%,16.69%,4.01%,4.36%,3.00,10.03M,0.21,31.05,1.60%,"663,284"
12,DISCA,-2.81%,-8.21%,-22.66%,53.71%,84.16%,17.08%,4.43%,4.44%,2.80,15.26M,0.30,35.85,1.76%,"1,457,974"
13,FOX,1.01%,2.54%,20.55%,38.84%,54.07%,28.36%,2.66%,2.37%,-,1.34M,1.07,36.54,-1.43%,"457,238"
14,FOXA,3.11%,4.06%,21.06%,44.28%,57.99%,33.04%,2.98%,2.58%,2.50,4.36M,1.06,37.64,-2.84%,"1,470,867"
15,VIAC,0.94%,-4.25%,-32.67%,28.07%,128.55%,3.35%,4.34%,4.49%,2.90,42.60M,0.50,39.04,1.39%,"6,814,802"
16,FITB,0.14%,8.90%,30.17%,59.41%,167.39%,52.27%,3.49%,2.90%,1.90,6.55M,0.59,42.31,0.80%,"1,222,249"
17,KHC,1.62%,8.82%,23.30%,43.77%,52.36%,26.43%,2.30%,1.96%,2.70,7.13M,0.45,44.04,0.50%,"1,016,066"
18,EXC,-0.16%,-2.29%,3.91%,3.30%,24.47%,5.19%,2.64%,1.79%,2.20,5.51M,1.05,44.88,1.07%,"1,847,838"
